school_id,school_name,street_address,city,state,zip_code,phone,county,total_students_listing,grades_listing,detail_href,source_url
062724000755,abraham lincoln elementary,2985 Bear St. Bldg. A,Costa Mesa,CA,92626,(949)515-6955,Orange County,336,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=062724000755,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=062724000755
061524001937,abraham lincoln elementary,4310 New York Ave.,La Crescenta,CA,91214,(818)249-1863,Los Angeles County,495,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=061524001937,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=061524001937
063531005993,abraham lincoln elementary,425 South Sullivan,Santa Ana,CA,92704,(714)972-6200,Orange County,468,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063531005993,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063531005993
061111001230,abraham lincoln elementary,74-100 Rutledge Way,Palm Desert,CA,92260,(760)862-4340,Riverside County,607,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=061111001230,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=061111001230
060939000951,abraham lincoln elementary,444 East Olive St.,Colton,CA,92324,(909)580-5026,San Bernardino County,587,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=060939000951,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=060939000951
063384005218,abraham lincoln elementary,3324 Glenmoor Dr.,Sacramento,CA,95827,(916)395-4500,Sacramento County,498,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063384005218,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063384005218
061029001139,abraham lincoln elementary,21710 McClellan Rd.,Cupertino,CA,95014,(408)252-4798,Santa Clara County,662,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=061029001139,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=061029001139
063581006125,abraham lincoln elementary,850 West Ninth St.,Santa Rosa,CA,95401,(707)890-3940,Sonoma County,305,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063581006125,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063581006125
063459005696,abraham lincoln high,123 Test St,Testville,CA,98798,(408)535-6300,Santa Clara County,"1,590",9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063459005696,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063459005696
060363007992,abraham lincoln jr. high,800 Chico St.,Bakersfield,CA,93305,(661)631-5950,Kern County,527,7-8,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=060363007992,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=060363007992
063627001989,abraham lincoln middle,1239 Nelson Blvd.,Selma,CA,93662,(559)898-6600,Fresno County,892,7-8,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063627001989,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=063627001989
062271003139,abraham lincoln senior high,3501 North Broadway,Los Angeles,CA,90031,(323)441-4600,Los Angeles County,913,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=062271003139,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=2&ID=062271003139
063543014546,abram agnew elementary,3534 Zanker Rd.,San Jose,CA,95134,(408)669-4100,Santa Clara County,505,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=063543014546,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=063543014546
063153004883,abraxas continuation high,12450 Glenoak Rd.,Poway,CA,92064,(858)748-5900,San Diego County,216,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=063153004883,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=063153004883
061473001790,acacia elementary,1200 North Acacia Ave.,Fullerton,CA,92831,(714)447-7700,Orange County,661,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=061473001790,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=061473001790
060964001004,acacia magnet school for enriched learning,55 Norman Ave.,Thousand Oaks,CA,91360,(805)495-5550,Ventura County,352,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060964001004,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060964001004
061692002148,acacia middle,1200 East Acacia Ave.,Hemet,CA,92543,(951)765-1620,Riverside County,958,6-8,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=061692002148,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=061692002148
060229110895,academia avance charter,PO Box 42095,Los Angeles,CA,90042,(323)230-7270,Los Angeles County,207,6-12,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060229110895,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060229110895
060236112455,academia moderna,2410 Broadway,Walnut Park,CA,90255,(323)923-0383,Los Angeles County,408,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060236112455,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060236112455
062271013040,academies of education and empowerment at carson high,22328 South Main St.,Carson,CA,90745,(310)847-1455,Los Angeles County,474,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=062271013040,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=062271013040
060282013154,academies of the antelope valley,6300 West Avenue L,Quartz Hill,CA,93536,(661)943-3031,Los Angeles County,677,6-12,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060282013154,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060282013154
063441012526,academy (the)- sf @mcateer,555 Portola Dr.,San Francisco,CA,94131,(415)695-5700,San Francisco County,123,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=063441012526,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=063441012526
060191107296,academy for academic excellence,17500 Mana Rd.,Apple Valley,CA,92307,(760)946-5414,San Bernardino County,"1,489",KG-12,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060191107296,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060191107296
060837011853,academy for change,290 East Ave.,Chico,CA,95926,(530)891-3092,Butte County,31,6-12,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060837011853,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=060837011853
062271013006,academy for enriched sciences,17551 Miranda St.,Encino,CA,91316,(818)609-8421,Los Angeles County,291,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=062271013006,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=062271013006
061686012368,academy of careers and exploration,PO Box 249,Helendale,CA,92342,(760)952-1266,San Bernardino County,285,7-12,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=061686012368,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=061686012368
069115814745,academy of creative technologies - antelope valley,550 W Rancho Vista Blvd,Palmdale,CA,93551,(661)213-9037,Los Angeles County,†,–,school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=069115814745,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=3&ID=069115814745
061692009555,academy of innovation,26866 San Jacinto St.,Hemet,CA,92543,(951)765-5193,Riverside County,545,KG-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=061692009555,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=061692009555
060985014184,academy of innovation,3211 South Main St.,Corona,CA,92882,(951)739-6809,Riverside County,556,KG-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060985014184,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060985014184
060267014771,academy of innovative arts,7050 Covey Road,Forestville,CA,95436,(707)824-6484,Sonoma County,†,–,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060267014771,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060267014771
062271013104,academy of medical arts at carson high,22328 South Main St.,Carson,CA,90745,(310)847-1460,Los Angeles County,438,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=062271013104,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=062271013104
064098006765,academy of technology & leadership at saticoy,760 Jazmin Ave.,Ventura,CA,93004,(805)672-2701,Ventura County,461,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=064098006765,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=064098006765
064251008517,academy of the canyons,26455 Rockwell Canyon Rd.,Santa Clarita,CA,91355,(661)362-3056,Los Angeles County,385,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=064251008517,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=064251008517
061419010801,academy of the redwoods,379 12th Streeet,Fortuna,CA,95540,(707)476-4203,Humboldt County,154,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=061419010801,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=061419010801
064104013396,academy performing preschool,12219 Second Ave.,Victorville,CA,92395,(760)245-1691,San Bernardino County,†,–,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=064104013396,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=064104013396
060165010751,acalanes center for independent study,1963 Tice Valley Blvd.,Walnut Creek,CA,94595,(925)280-3945,Contra Costa County,61,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060165010751,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060165010751
060165000032,acalanes high,1200 Pleasant Hill Rd.,Lafayette,CA,94549,(925)280-3970,Contra Costa County,"1,256",9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060165000032,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060165000032
060173203245,accelerated,4000 South Main St.,Los Angeles,CA,90037,(323)235-6343,Los Angeles County,729,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060173203245,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060173203245
061734012565,accelerated achievement academy,1151 Buena Vista Rd. Ste. 200,Hollister,CA,95023,(831)636-4460,San Benito County,151,5-8,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=061734012565,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=061734012565
060147110830,accelerated charter elementary,3914 South Main St.,Los Angeles,CA,90037,(323)846-6694,Los Angeles County,526,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060147110830,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=060147110830
063993013976,accelerated charter high,426 North Blackstone St.,Tulare,CA,93274,(559)688-2021,Tulare County,152,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=063993013976,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=063993013976
069102410567,access county community,PO Box 9050,Costa Mesa,CA,92628,(714)245-6404,Orange County,"1,315",KG-12,school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=069102410567,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=4&ID=069102410567
069102409236,access juvenile hall,PO Box 9050,Costa Mesa,CA,92628,(714)935-7651,Orange County,186,KG-12,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=069102409236,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=069102409236
060156113023,ace charter high,1776 Educational Park Dr.,San Jose,CA,95133,(408)251-1362,Santa Clara County,313,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060156113023,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060156113023
060221712198,ace empower academy,625 South Sunset Ave.,San Jose,CA,95116,(408)729-3920,Santa Clara County,189,5-8,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060221712198,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060221712198
060185213740,ace esperanza middle,1665 Santee Dr.,San Jose,CA,95112,(408)729-3420,Santa Clara County,205,5-8,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060185213740,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060185213740
060213813852,ace inspire academy,1100 Shasta Ave.,San Jose,CA,95126,(408)295-6008,Santa Clara County,205,5-8,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060213813852,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060213813852
060216511561,achieve academy,333 Hegenberger Rd. Ste. 705,Oakland,CA,94621,(510)904-6440,Alameda County,537,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060216511561,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060216511561
060257014596,achieve charter school of chico,1494 East Ave.,Chico,CA,95926,(530)872-4100,Butte County,222,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060257014596,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060257014596
060213311571,achieve charter school of paradise inc.,1494 East Ave.,Chico,CA,95928,(530)762-2599,Butte County,169,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060213311571,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060213311571
062805010730,acorn woodland elementary,1025 81st Ave.,Oakland,CA,94621,(510)879-5570,Alameda County,291,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=062805010730,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=062805010730
064215012492,ada clegg elementary,6311 Larchwood Dr.,Huntington Beach,CA,92647,(714)894-7218,Orange County,443,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=064215012492,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=064215012492
062460003686,ada givens elementary,2900 Green St.,Merced,CA,95340,(209)385-6610,Merced County,579,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=062460003686,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=062460003686
062289003501,ada s. nelson elementary,8140 South Vicki Dr.,Whittier,CA,90606,(562)692-0615,Los Angeles County,358,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=062289003501,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=062289003501
060747000706,ada w. harris elementary,1508 Windsor Rd.,Cardiff-by-the-Sea,CA,92007,(760)632-5894,San Diego County,382,3-6,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060747000706,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060747000706
061938002329,adaline e. kent middle,800 College Ave.,Kentfield,CA,94904,(415)458-5970,Marin County,488,5-8,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=061938002329,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=061938002329
060558009312,adam (william laird) elementary,500 West Windsor,Santa Maria,CA,93458,(805)361-6700,Santa Barbara County,874,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060558009312,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=5&ID=060558009312
060591011574,adams (j. douglas) middle,401 American Ave.,Brentwood,CA,94513,(925)513-6480,Contra Costa County,"1,197",6-8,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060591011574,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060591011574
063315005129,adams elementary,8362 Colorado Ave.,Riverside,CA,92504,(951)352-6709,Riverside County,487,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=063315005129,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=063315005129
063531005981,adams elementary,2130 South Raitt St.,Santa Ana,CA,92704,(714)430-5900,Orange County,320,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=063531005981,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=063531005981
062724009593,adams elementary,2985 Bear St. Bldg. A,Costa Mesa,CA,92626,(714)424-7935,Orange County,321,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=062724009593,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=062724009593
060141406015,adams elementary,2701 Las Positas Rd.,Santa Barbara,CA,93105,(805)563-2515,Santa Barbara County,469,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060141406015,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060141406015
063801006398,adams elementary,6402 Inglewood Ave.,Stockton,CA,95207,(209)933-7155,San Joaquin County,492,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=063801006398,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=063801006398
063432005407,adams elementary,4672 35th St.,San Diego,CA,92116,(619)362-4200,San Diego County,290,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=063432005407,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=063432005407
060003204949,adams middle,1401 Inglewood Ave.,Redondo Beach,CA,90278,(310)798-8636,Los Angeles County,"1,165",6-8,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060003204949,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060003204949
061455001703,addams elementary,2117 West McKinley Ave.,Fresno,CA,93728,(559)457-2510,Fresno County,748,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=061455001703,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=061455001703
062250002695,addams elementary,5320 Pine Ave.,Long Beach,CA,90805,(562)428-0202,Los Angeles County,717,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=062250002695,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=062250002695
062961004579,addison elementary,650 Addison Ave.,Palo Alto,CA,94301,(650)322-5935,Santa Clara County,366,KG-5,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=062961004579,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=062961004579
060234308628,adelante charter,1102 East Yanonali St.,Santa Barbara,CA,93103,(805)966-7392,Santa Barbara County,306,KG-6,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060234308628,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060234308628
060231011793,adelante dual language academy,2999 Ridgemont Dr.,San Jose,CA,95127,(408)928-1900,Santa Clara County,505,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060231011793,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060231011793
060231014147,adelante dual language academy ii,1970 Cinderella Ln.,San Jose,CA,95116,(408)928-7100,Santa Clara County,368,KG-8,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060231014147,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060231014147
060006111814,adelante high,6801 Seventh St.,Riverbank,CA,95367,(209)869-2383,Stanislaus County,40,10-12,school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060006111814,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=6&ID=060006111814
063227002047,adelante high,PO Box 149,Kettleman City,CA,93239,(559)386-9081,Kings County,0,9-12,school_detail.asp?Search=1&State=06&SchoolPageNum=7&ID=063227002047,https://nces.ed.gov/ccd/schoolsearch/school_detail.asp?Search=1&State=06&SchoolPageNum=7&ID=063227002047
